"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"1","NFCX","8,150","8,325","9,200","8,175","9,125","Rise","975","11.96","1,183","33,144","29,984,702"
"2","ITMG","34,150","34,225","35,325","33,975","35,075","Rise","925","2.70","4,000","29,447","102,459,182"
"3","PTSP","5,450","5,500","6,500","5,500","6,050","Rise","600","11.00","62","91","55,872"
"4","INCO","5,200","5,275","5,775","5,250","5,700","Rise","500","9.61","11,461","574,200","317,472,832"
"5","MDKA","3,780","3,800","4,040","3,800","4,030","Rise","250","6.61","11,603","621,164","246,897,625"
"6","GGRM","29,500","29,500","29,800","29,475","29,700","Rise","200","0.67","1,061","4,973","14,758,070"
"7","MERK","4,410","4,440","4,600","4,440","4,560","Rise","150","3.40","145","1,227","551,203"
"8","TFAS","4,160","4,170","4,400","4,000","4,300","Rise","140","3.36","60","302","124,325"
"9","MBAP","6,550","6,550","6,725","6,550","6,675","Rise","125","1.90","343","2,397","1,593,570"
"10","AALI","9,375","9,400","9,525","9,300","9,500","Rise","125","1.33","1,969","20,985","19,777,902"
"11","BNBA","1,810","1,820","1,980","1,815","1,920","Rise","110","6.07","2,003","34,117","6,544,915"
"12","ANTM","1,675","1,690","1,785","1,690","1,780","Rise","105","6.26","21,815","1,298,656","226,947,800"
"13","HEXA","6,150","6,150","6,250","6,150","6,250","Rise","100","1.62","384","3,207","1,997,790"
"14","SMMT","855","865","975","855","950","Rise","95","11.11","4,934","312,775","29,225,532"
"15","EMTK","1,865","1,870","1,975","1,865","1,960","Rise","95","5.09","12,746","657,111","127,200,782"
"16","SMDR","2,780","2,780","2,880","2,780","2,860","Rise","80","2.87","3,746","90,254","25,637,795"
"17","BAYU","1,095","1,095","1,175","1,095","1,175","Rise","80","7.30","2","3","336"
"18","GHON","2,150","2,170","2,230","2,170","2,230","Rise","80","3.72","3","12","2,610"
"19","AKPI","1,305","1,305","1,385","1,300","1,385","Rise","80","6.13","52","188","25,281"
"20","HRUM","1,545","1,560","1,630","1,555","1,625","Rise","80","5.17","12,917","1,248,873","199,668,381"
"21","SCCO","9,725","9,725","9,800","9,525","9,800","Rise","75","0.77","10","18","17,372"
"22","UNTR","30,000","30,000","30,225","29,850","30,075","Rise","75","0.25","6,345","44,508","133,569,180"
"23","ESSA","875","875","985","875","950","Rise","75","8.57","23,786","1,792,653","169,447,531"
"24","ARGO","1,150","1,220","1,220","1,220","1,220","Rise","70","6.08","1","1","122"
"25","BTPS","2,670","2,700","2,760","2,700","2,740","Rise","70","2.62","585","11,515","3,155,365"
"26","ABMM","2,300","2,300","2,380","2,290","2,370","Rise","70","3.04","1,032","23,604","5,530,149"
"27","BMSR","730","730","800","720","800","Upper limit","70","9.58","480","10,605","826,512"
"28","PTRO","2,770","2,770","2,870","2,750","2,830","Rise","60","2.16","586","23,905","6,700,177"
"29","BINA","3,640","3,640","3,700","3,600","3,700","Rise","60","1.64","147","4,277","1,564,828"
"30","ADMR","1,710","1,735","1,785","1,710","1,770","Rise","60","3.50","10,658","959,745","168,269,736"
"31","PURI","422","422","478","422","478","Rise","56","13.27","29","156","7,403"
"32","BMAS","1,275","1,275","1,330","1,250","1,330","Rise","55","4.31","60","998","129,624"
"33","CEKA","2,320","2,280","2,370","2,250","2,370","Rise","50","2.15","81","291","67,716"
"34","DUTI","4,800","4,900","4,900","4,800","4,850","Rise","50","1.04","7","8","3,868"
"35","INTP","9,400","9,375","9,525","9,325","9,450","Rise","50","0.53","991","10,775","10,193,275"
"36","TINS","1,380","1,400","1,435","1,390","1,430","Rise","50","3.62","5,743","294,329","41,800,412"
"37","ENAK","1,525","1,525","1,575","1,525","1,575","Rise","50","3.27","394","22,072","3,432,755"
"38","GEMS","6,125","6,125","6,175","6,100","6,175","Rise","50","0.81","65","453","278,510"
"39","BOLA","320","320","384","316","370","Rise","50","15.62","4,936","407,165","14,487,158"
"40","ASSA","1,790","1,800","1,875","1,800","1,835","Rise","45","2.51","3,518","124,701","22,849,467"
"41","WIRG","570","575","640","570","615","Rise","45","7.89","13,697","1,288,380","77,931,734"
"42","BEBS","4,840","4,820","4,990","4,530","4,880","Rise","40","0.82","4,078","695,639","331,614,415"
"43","JECC","3,840","3,960","4,210","3,610","3,880","Rise","40","1.04","41","100","38,910"
"44","SSMS","1,410","1,410","1,470","1,405","1,450","Rise","40","2.83","1,506","158,674","23,016,139"
"45","AMRT","1,835","1,835","1,910","1,830","1,875","Rise","40","2.17","8,533","591,188","111,200,745"
"46","WIRG-W","248","248","302","240","284","Rise","36","14.51","657","41,588","1,190,138"
"47","KLBF","1,680","1,690","1,715","1,675","1,715","Rise","35","2.08","3,247","398,970","67,458,368"
"48","JSPT","795","830","830","830","830","Rise","35","4.40","1","1","83"
"49","KEJU","1,565","1,570","1,670","1,570","1,600","Rise","35","2.23","186","2,722","439,946"
"50","ITMA","565","565","615","560","600","Rise","35","6.19","422","11,649","699,535"
"51","CMNT","1,005","1,005","1,060","1,005","1,040","Rise","35","3.48","1,796","501,295","52,167,250"
"52","AMOR","1,360","1,395","1,395","1,395","1,395","Rise","35","2.57","1","1","139"
"53","YPAS","785","800","925","735","820","Rise","35","4.45","535","6,421","541,675"
"54","FPNI","360","360","400","360","394","Rise","34","9.44","4,712","348,069","13,484,101"
"55","BIPI","152","154","197","152","184","Rise","32","21.05","51,887","25,057,550","447,248,038"
"56","XBSK","440","452","472","415","472","Rise","32","7.27","10","86","3,598"
"57","CITA","2,940","2,970","2,970","2,970","2,970","Rise","30","1.02","3","14","4,158"
"58","TBIG","3,120","3,130","3,180","3,050","3,150","Rise","30","0.96","2,903","114,478","36,049,737"
"59","MLPT","2,530","2,570","2,570","2,560","2,560","Rise","30","1.18","12","103","26,464"
"60","IFSH","1,240","1,240","1,270","1,240","1,270","Rise","30","2.41","5","5","632"
"61","SRTG","2,420","2,420","2,480","2,410","2,450","Rise","30","1.23","4,072","156,208","38,158,164"
"62","PTBA","4,020","4,030","4,090","4,000","4,050","Rise","30","0.74","4,416","206,857","83,701,633"
"63","ITMA-W","38","38","99","38","67","Rise","29","76.31","288","5,539","34,618"
"64","MCOL","6,775","6,775","6,800","6,725","6,800","Rise","25","0.36","163","2,781","1,879,502"
"65","OMRE","525","550","550","550","550","Rise","25","4.76","1","1","55"
"66","NIKL","820","825","880","815","845","Rise","25","3.04","488","11,907","1,007,607"
"67","TKIM","6,400","6,475","6,475","6,375","6,425","Rise","25","0.39","671","10,853","6,957,782"
"68","BALI","795","785","820","780","820","Rise","25","3.14","58","429","34,493"
"69","ASDM","955","955","980","955","980","Rise","25","2.61","9","10","959"
"70","ADMF","7,975","7,975","8,000","7,950","8,000","Rise","25","0.31","75","459","366,742"
"71","MEGA","5,400","5,400","5,500","5,325","5,425","Rise","25","0.46","63","268","144,790"
"72","ARTO","9,650","9,700","9,800","9,550","9,675","Rise","25","0.25","7,090","158,018","152,580,232"
"73","BSML","940","940","965","925","965","Rise","25","2.65","1,157","30,087","2,861,195"
"74","PGAS","1,580","1,580","1,615","1,580","1,605","Rise","25","1.58","6,557","477,508","76,490,468"
"75","PYFA","1,020","1,020","1,045","1,015","1,045","Rise","25","2.45","30","1,148","117,966"
"76","DAYA","212","212","258","204","234","Rise","22","10.37","126","627","14,105"
"77","DSNG","505","505","525","500","525","Rise","20","3.96","1,408","209,010","10,620,870"
"78","CMRY","4,000","4,010","4,020","3,960","4,020","Rise","20","0.50","214","1,487","596,794"
