"Name","Index","Change","Change(%)","Ratio(%)","Volume","Freq","Value","Up","Down","Unchg","No Trd"
"COMPOSITE","6,886.962","Rise","22.831","0.33 %","209,797,253","1,077,941","10,906,235","288","213","187","88"
"LQ45","974.044","Rise","2.490","0.25 %","29,011,520","237,907","5,032,927","22","19","4","0"
"JII","597.961","Rise","5.064","0.85 %","13,322,805","174,499","2,878,065","16","10","4","0"
"MBX","1,784.375","Rise","4.047","0.22 %","69,983,794","576,909","6,685,743","144","111","87","11"
"DBX","2,010.450","Rise","27.962","1.41 %","142,793,403","506,884","4,225,581","159","121","117","83"
"KOMPAS100","1,219.174","Rise","1.529","0.12 %","32,521,561","370,881","5,782,892","50","39","11","0"
"BISNIS-27","548.636","Fall","0.592","0.10 %","11,073,031","171,741","3,937,927","12","13","2","0"
"SRI-KEHATI","389.223","Fall","2.352","0.60 %","6,586,077","105,222","2,813,598","7","16","2","0"
"PEFINDO25","332.229","Rise","4.772","1.45 %","6,727,794","98,954","1,128,698","14","8","3","0"
"ISSI","204.766","Rise","1.317","0.64 %","83,853,714","717,525","6,024,791","194","154","110","23"
"IDX30","518.071","Rise","1.335","0.25 %","25,495,213","191,968","4,407,751","13","13","4","0"
"INFOBANK15","1,097.144","Fall","5.505","0.49 %","2,916,038","39,060","1,308,906","6","6","3","0"
"SMinfra18","315.679","Fall","0.381","0.12 %","5,046,939","63,453","1,761,857","4","10","4","0"
"MNC36","328.505","Fall","1.418","0.42 %","11,112,484","158,256","3,834,870","15","17","4","0"
"Investor33","457.051","Fall","1.130","0.24 %","11,166,339","174,350","3,961,691","14","15","4","0"
"IDXSMC-COM","365.776","Rise","3.894","1.07 %","160,521,036","623,930","6,518,414","166","115","80","31"
"IDXSMC-LIQ","361.824","Rise","3.586","1.00 %","19,567,527","190,009","2,097,560","28","21","6","0"
"I-GRADE","187.009","Fall","0.792","0.42 %","6,678,996","97,337","2,289,941","9","18","3","0"
"IDXHIDIV20","516.093","Fall","2.319","0.44 %","7,530,205","113,156","3,029,262","10","8","2","0"
"IDXBUMN20","379.407","Rise","0.446","0.11 %","5,879,183","81,893","1,806,150","6","11","3","0"
"JII70","203.362","Rise","1.417","0.70 %","25,787,985","298,773","3,587,422","35","28","7","0"
"IDX80","137.822","Rise","0.461","0.33 %","39,962,205","348,969","5,734,467","38","34","8","0"
"IDXV30","144.145","Fall","0.466","0.32 %","5,336,228","82,230","1,474,922","15","12","3","0"
"IDXG30","147.290","Rise","0.615","0.41 %","11,019,400","156,922","2,703,370","11","18","1","0"
"IDXQ30","154.596","Fall","0.672","0.43 %","10,764,480","127,803","2,373,753","16","12","2","0"
"IDXESGL","139.116","Fall","0.677","0.48 %","12,240,729","115,881","2,342,259","10","16","4","0"
"IDXMESBUMN","94.748","Rise","0.973","1.03 %","4,121,504","61,888","901,598","7","7","3","0"
"ESGSKEHATI","128.994","Fall","0.244","0.18 %","16,908,458","222,532","4,077,564","23","27","6","0"
"ESGQKEHATI","127.168","Fall","0.437","0.34 %","14,186,658","185,698","3,554,426","19","22","4","0"
"IDXBASIC","1,280.783","Rise","27.706","2.21 %","38,297,720","162,326","2,456,727","42","24","27","7"
"IDXCYCLIC","887.419","Rise","2.495","0.28 %","25,532,647","158,124","1,058,679","46","42","37","22"
"IDXENERGY","1,724.719","Rise","30.258","1.78 %","72,157,576","192,911","2,055,239","40","18","12","11"
"IDXFINANCE","1,473.082","Fall","1.401","0.09 %","10,978,654","109,511","1,809,282","37","34","26","14"
"IDXHEALTH","1,521.778","Fall","6.290","0.41 %","7,082,135","23,932","476,850","5","12","5","2"
"IDXINDUST","1,214.226","Rise","1.692","0.13 %","5,853,410","56,614","512,316","23","15","20","5"
"IDXINFRA","975.638","Fall","0.691","0.07 %","10,443,531","65,132","752,355","19","21","18","6"
"IDXNONCYC","723.555","Fall","0.809","0.11 %","12,057,367","128,422","752,091","38","35","27","9"
"IDXPROPERT","676.729","Rise","0.156","0.02 %","8,096,458","60,868","121,250","35","20","25","13"
"IDXTECHNO","8,080.039","Rise","225.018","2.86 %","21,829,919","102,704","835,593","18","9","7","2"
"IDXTRANS","1,993.709","Fall","6.417","0.32 %","1,602,833","33,878","93,069","9","8","10","2"
